TransportKind	DATABASE_CONNECTION	DB
TransportKind	DATABASE_CONNECTION	DB LINK
TransportKind	DATABASE_CONNECTION	DIRECT DATABASE ACCESS
TransportKind	DATABASE_CONNECTION	JDBC
TransportKind	DATABASE_CONNECTION	OLEDB
TransportKind	FILE_TRANSPORT	SFTP
TransportKind	FILE_TRANSPORT	SFTPS
TransportKind	FILE_TRANSPORT	FTP
TransportKind	FILE_TRANSPORT	SCP
TransportKind	DATABASE_CONNECTION	FILE
TransportKind	FILE_SHARE	NFS
TransportKind	FILE_SHARE	SAMBA
TransportKind	FILE_SHARE	SHAREPOINT
TransportKind	MANUAL	MANUAL_UPLOAD
TransportKind	MANUAL	SNEAKERNET
TransportKind	MESSAGING	JMS
TransportKind	OTHER	NA
TransportKind	WEB	HTTP
TransportKind	WEB	HTTPS
TransportKind	WEB	SOAP
TransportKind	WEB	REST
TransportKind	WEB	GRAPHQL
TransportKind	EMAIL	SMTP
TransportKind	EMAIL	MIME
TransportKind	EMAIL	OUTLOOK
\.


