1	Link to African Forest Elephant - 0	Link to African Forest Elephant - 0	APPLICATION_INSTANCE	https://en.wikipedia.org/wiki/African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.69581	2020-06-24 21:14:56.695622	f	waltz-sample	admin	f	f
2	Docs on African Forest Elephant - 0	African Forest Elephant - 0 Data	BUSINESS_SPECIFICATION	https://www.google.co.uk/search?q=African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.696225	2020-06-24 21:14:56.696167	f	waltz-sample	admin	f	f
3	African Forest Elephant - 0 Info	Docs on African Forest Elephant - 0	RETIREMENT_PLAN	https://www.google.co.uk/search?q=African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.696527	2020-06-24 21:14:56.696483	f	waltz-sample	admin	f	f
4	All about African Forest Elephant - 0	Docs on African Forest Elephant - 0	APPLICATION_INSTANCE	https://en.wikipedia.org/wiki/African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.696807	2020-06-24 21:14:56.696759	f	waltz-sample	admin	f	f
5	Docs on African Forest Elephant - 0	African Forest Elephant - 0 Data	BUILD_SYSTEM	https://www.google.co.uk/search?q=African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.697125	2020-06-24 21:14:56.697079	f	waltz-sample	admin	f	f
6	Docs on African Forest Elephant - 0	African Forest Elephant - 0 Info	RETIREMENT_PLAN	https://www.bing.com/search?q=African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.697421	2020-06-24 21:14:56.697374	f	waltz-sample	admin	f	f
7	Docs on African Forest Elephant - 0	African Forest Elephant - 0 Info	DOCUMENTATION	https://www.bing.com/search?q=African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.697709	2020-06-24 21:14:56.697665	f	waltz-sample	admin	f	f
8	All about African Forest Elephant - 0	African Forest Elephant - 0 Info	DOCUMENTATION	https://www.google.co.uk/search?q=African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.697985	2020-06-24 21:14:56.697942	f	waltz-sample	admin	f	f
9	Link to African Forest Elephant - 0	Link to African Forest Elephant - 0	TECHNICAL_SPECIFICATION	https://en.wikipedia.org/wiki/African Forest Elephant - 0	APPLICATION	1	2020-06-24 21:14:56.698267	2020-06-24 21:14:56.698224	f	waltz-sample	admin	f	f
10	Docs on Basset Hound - 1	All about Basset Hound - 1	TECHNICAL_SPECIFICATION	https://www.bing.com/search?q=Basset Hound - 1	APPLICATION	2	2020-06-24 21:14:56.698601	2020-06-24 21:14:56.698554	f	waltz-sample	admin	f	f
11	Basset Hound - 1 Data	Docs on Basset Hound - 1	SOURCE_CODE_CONTROL	https://en.wikipedia.org/wiki/Basset Hound - 1	APPLICATION	2	2020-06-24 21:14:56.698908	2020-06-24 21:14:56.698862	f	waltz-sample	admin	f	f
12	Basset Hound - 1 Info	Link to Basset Hound - 1	SOURCE_CODE_CONTROL	https://en.wikipedia.org/wiki/Basset Hound - 1	APPLICATION	2	2020-06-24 21:14:56.699207	2020-06-24 21:14:56.699161	f	waltz-sample	admin	f	f
