1	PnL Finance Statement Statement	About the PnL Finance Statement Statement End user app	MS ACCESS	DEVELOPMENT	MEDIUM	130	waltz	\N	f
2	Rate Profit Pivot Calculations	About the Rate Profit Pivot Calculations End user app	MS EXCEL	DEVELOPMENT	MEDIUM	130	waltz	\N	f
3	Risk PnL Summary Pivot	About the Risk PnL Summary Pivot End user app	MS EXCEL	RETIRED	MEDIUM	260	waltz	\N	f
4	Balance Person Pivot Pivot	About the Balance Person Pivot Pivot End user app	MS EXCEL	PRODUCTION	VERY_HIGH	260	waltz	\N	f
5	Account Rate Record Calculations	About the Account Rate Record Calculations End user app	MS ACCESS	CONCEPTUAL	MEDIUM	70	waltz	\N	f
6	Risk Instruction Information Draft	About the Risk Instruction Information Draft End user app	VBA	CONCEPTUAL	UNKNOWN	200	waltz	\N	f
7	Trade Trade Breaks Information	About the Trade Trade Breaks Information End user app	VBA	RETIRED	VERY_HIGH	200	waltz	\N	f
8	Settlement PnL Calculations Calculations	About the Settlement PnL Calculations Calculations End user app	MS EXCEL	DEVELOPMENT	UNKNOWN	270	waltz	\N	f
9	Account Trade Record Information	About the Account Trade Record Information End user app	VBA	RETIRED	NONE	270	waltz	\N	f
10	Finance Person Pivot Report	About the Finance Person Pivot Report End user app	MS EXCEL	CONCEPTUAL	VERY_HIGH	80	waltz	\N	f
11	Rate Profit Breaks Draft	About the Rate Profit Breaks Draft End user app	MS EXCEL	RETIRED	UNKNOWN	80	waltz	\N	f
12	Rate PnL Breaks Breaks	About the Rate PnL Breaks Breaks End user app	MS ACCESS	CONCEPTUAL	HIGH	210	waltz	\N	f
13	Finance Trade Report Summary	About the Finance Trade Report Summary End user app	VBA	PRODUCTION	MEDIUM	210	waltz	\N	f
14	Balance Trade Calculations Draft	About the Balance Trade Calculations Draft End user app	MS EXCEL	RETIRED	LOW	20	waltz	\N	f
15	Profit Party Information Statement	About the Profit Party Information Statement End user app	MS EXCEL	PRODUCTION	VERY_HIGH	280	waltz	\N	f
16	Finance Rate Statement Draft	About the Finance Rate Statement Draft End user app	MS EXCEL	PRODUCTION	LOW	220	waltz	\N	f
17	Instruction Trade Summary Breaks	About the Instruction Trade Summary Breaks End user app	MS ACCESS	RETIRED	UNKNOWN	30	waltz	\N	f
18	Trade Account Statement Information	About the Trade Account Statement Information End user app	MS EXCEL	DEVELOPMENT	UNKNOWN	160	waltz	\N	f
19	Person Person Record Statement	About the Person Person Record Statement End user app	MS EXCEL	DEVELOPMENT	UNKNOWN	160	waltz	\N	f
20	Margin Party Calculations Summary	About the Margin Party Calculations Summary End user app	MS ACCESS	RETIRED	HIGH	100	waltz	\N	f
21	Finance Trade Information Statement	About the Finance Trade Information Statement End user app	MS ACCESS	PRODUCTION	UNKNOWN	230	waltz	\N	f
22	Margin Person Calculations Draft	About the Margin Person Calculations Draft End user app	MS EXCEL	RETIRED	NONE	40	waltz	\N	f
23	Account PnL Pivot Statement	About the Account PnL Pivot Statement End user app	VBA	DEVELOPMENT	VERY_HIGH	40	waltz	\N	f
24	Person Settlement Statement Record	About the Person Settlement Statement Record End user app	MS ACCESS	PRODUCTION	VERY_HIGH	170	waltz	\N	f
25	Trade Instruction Calculations Information	About the Trade Instruction Calculations Information End user app	MS EXCEL	RETIRED	UNKNOWN	300	waltz	\N	f
26	Profit Balance Information Information	About the Profit Balance Information Information End user app	MS ACCESS	CONCEPTUAL	LOW	240	waltz	\N	f
27	Finance PnL Record Calculations	About the Finance PnL Record Calculations End user app	MS ACCESS	RETIRED	LOW	180	waltz	\N	f
28	Trade Risk Pivot Summary	About the Trade Risk Pivot Summary End user app	MS ACCESS	PRODUCTION	VERY_HIGH	120	waltz	\N	f
29	Trade Account Summary Statement	About the Trade Account Summary Statement End user app	VBA	DEVELOPMENT	VERY_HIGH	120	waltz	\N	f
30	PnL Trade Breaks Calculations	About the PnL Trade Breaks Calculations End user app	VBA	RETIRED	NONE	250	waltz	\N	f
31	Person Settlement Draft Summary	About the Person Settlement Draft Summary End user app	VBA	RETIRED	UNKNOWN	190	waltz	\N	f
32	Person Finance Report Draft	About the Person Finance Report Draft End user app	MS ACCESS	PRODUCTION	MEDIUM	190	waltz	\N	f
\.


