2	84	APPLICATION	f
2	69	APPLICATION	f
2	64	APPLICATION	f
2	79	APPLICATION	f
2	82	APPLICATION	f
2	32	APPLICATION	f
2	71	APPLICATION	f
2	76	LOGICAL_DATA_FLOW	f
2	205	LOGICAL_DATA_FLOW	f
2	154	LOGICAL_DATA_FLOW	f
2	188	LOGICAL_DATA_FLOW	f
2	16	LOGICAL_DATA_FLOW	f
2	211	LOGICAL_DATA_FLOW	f
2	401	PHYSICAL_FLOW	f
2	407	PHYSICAL_FLOW	f
3	47	APPLICATION	t
4	10	APPLICATION	t
5	94	APPLICATION	t
6	94	APPLICATION	f
6	77	APPLICATION	f
6	22	APPLICATION	f
6	34	APPLICATION	f
6	242	LOGICAL_DATA_FLOW	f
6	428	LOGICAL_DATA_FLOW	f
6	250	LOGICAL_DATA_FLOW	f
7	94	APPLICATION	t
8	94	APPLICATION	f
8	77	APPLICATION	f
8	22	APPLICATION	f
8	34	APPLICATION	f
8	82	APPLICATION	f
8	51	APPLICATION	f
8	242	LOGICAL_DATA_FLOW	f
8	428	LOGICAL_DATA_FLOW	f
8	250	LOGICAL_DATA_FLOW	f
8	317	LOGICAL_DATA_FLOW	f
8	291	LOGICAL_DATA_FLOW	f
8	601	PHYSICAL_FLOW	f
8	600	PHYSICAL_FLOW	f
8	27	MEASURABLE	f
1	29	APPLICATION	f
1	82	APPLICATION	f
1	32	APPLICATION	f
1	71	APPLICATION	f
1	59	APPLICATION	f
1	354	LOGICAL_DATA_FLOW	f
1	16	LOGICAL_DATA_FLOW	f
1	211	LOGICAL_DATA_FLOW	f
1	369	LOGICAL_DATA_FLOW	f
1	464	PHYSICAL_FLOW	f
1	527	PHYSICAL_FLOW	f
1	144	PHYSICAL_FLOW	f
1	161	PHYSICAL_FLOW	f
9	90	APPLICATION	f
9	61	APPLICATION	f
9	21	APPLICATION	f
9	7	APPLICATION	f
9	45	APPLICATION	f
9	332	LOGICAL_DATA_FLOW	f
9	243	LOGICAL_DATA_FLOW	f
9	29	LOGICAL_DATA_FLOW	f
9	319	LOGICAL_DATA_FLOW	f
10	5	APPLICATION	t
\.


