1	Noweb License	\N	Noweb	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
2	University of Illinois/NCSA Open Source License	\N	NCSA	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
3	CNRI Python Open Source GPL Compatible License Agreement	\N	CNRI-Python-GPL-Compatible	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
4	SNIA Public License 1.1	\N	SNIA	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
5	Academy of Motion Picture Arts and Sciences BSD	\N	AMPAS	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
6	Open Data Commons Attribution License v1.0	\N	ODC-By-1.0	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
7	Q Public License 1.0	\N	QPL-1.0	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
8	TCL/TK License	\N	TCL	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
9	Unicode Terms of Use	\N	Unicode-TOU	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
10	GNU General Public License v2.0 w/GCC Runtime Library exception	\N	GPL-2.0-with-GCC-exception	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
11	Adobe Systems Incorporated Source Code License Agreement	\N	Adobe-2006	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
12	Open Group Test Suite License	\N	OGTSL	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
13	NetCDF license	\N	NetCDF	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
14	Independent JPEG Group License	\N	IJG	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
15	Freetype Project License	\N	FTL	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
16	SIL Open Font License 1.1	\N	OFL-1.1	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
17	Open LDAP Public License v2.1	\N	OLDAP-2.1	PENDING_APPROVAL	admin	2020-06-24 21:15:10.535289	admin	2020-06-24 21:15:10.535289	spdx
