v1-41-tag	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.776301	906	EXECUTED	8:865aef6762e348bfaefd765ac47e2715	tagDatabase		v1.41	3.10.3	\N	\N	4011774242
20220518-6061-1	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.824201	907	EXECUTED	8:99581c7c5b4918b8e9807b752d8b5d21	addColumn tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-2	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.843238	908	EXECUTED	8:0dad79e3e40da980a63c95249e9d6dc4	update tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-3	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.860912	909	EXECUTED	8:affa8c0ce87623b35cbf513bb05d85f9	dropColumn columnName=subject_kind, tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-4	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.885688	910	EXECUTED	8:48ed9fdce56d57a3e605f3438a8dd92a	addColumn tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-5	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.898882	911	EXECUTED	8:45fd0e1e8cd831421a71d3c98a26d610	dropDefaultValue columnName=parent_kind, tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-6	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.9114	912	EXECUTED	8:a871b08698e057464b239f3456f3f6f0	addColumn tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-7	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.932027	913	EXECUTED	8:357d80485b17f67a8fcef71b5a07368c	sql		\N	3.10.3	\N	\N	4011774242
20220518-6061-8	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.94573	914	EXECUTED	8:389d6ba1f087d69f504c48f00c867563	update tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-9	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.960269	915	EXECUTED	8:35f4e7d807025466e5e4d2a12c04b506	dropColumn columnName=qualifier_kind, tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-10	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.973606	916	EXECUTED	8:9a8bdcc250d17561f3cd51178d042128	addColumn tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-11	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:54.987955	917	EXECUTED	8:8148ad1cfe25957a6e8d4b63d86e2456	update tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-12	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:55.001884	918	EXECUTED	8:c74dd066762d7f85460b599917cd7c9c	addColumn tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-13	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:55.017136	919	EXECUTED	8:36807657fb33c4d45ed706280b4d1be4	sql		\N	3.10.3	\N	\N	4011774242
20220518-6061-14	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:55.031945	920	EXECUTED	8:b0bc0dc6f1f87e367da1cb0941345ae1	dropColumn columnName=qualifier_id, tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-15	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:55.046448	921	EXECUTED	8:f9a05df64dcc072a534464121b79abb2	renameColumn newColumnName=qualifier_id, oldColumnName=qualifier_id_2, tableName=permission_group_involvement		\N	3.10.3	\N	\N	4011774242
20220518-6061-16	woodjes	db.changelog-1.42.xml	2022-05-31 15:42:55.102555	922	EXECUTED	8:cf6dde1cee8d977c81e14e2d43a3f8d6	setTableRemarks tableName=permission_group; setColumnRemarks columnName=is_default, tableName=permission_group; setColumnRemarks columnName=name, tableName=permission_group; setColumnRemarks columnName=external_id, tableName=permission_group; setC...		\N	3.10.3	\N	\N	4011774242
20220531-6085-1	woodjes	db.changelog-1.42.xml	2022-06-06 17:11:46.254759	923	EXECUTED	8:3464c458130972551596ae24286c9f9b	addColumn tableName=aggregate_overlay_diagram	6085: support change initiatives in overlay diagrams	\N	3.10.3	\N	\N	4531907893
20220531-6085-2	woodjes	db.changelog-1.42.xml	2022-06-06 17:11:46.271166	924	EXECUTED	8:c28573bb1159579e44cec2da9ef1e4ad	dropDefaultValue columnName=aggregated_entity_kind, tableName=aggregate_overlay_diagram	6085: support change initiatives in overlay diagrams	\N	3.10.3	\N	\N	4531907893
20220531-6085-3	woodjes	db.changelog-1.42.xml	2022-06-06 17:11:46.286964	925	EXECUTED	8:61864074630e2001faad84faf405a08f	setColumnRemarks columnName=aggregated_entity_kind, tableName=aggregate_overlay_diagram	6085: support change initiatives in overlay diagrams	\N	3.10.3	\N	\N	4531907893
20220606-6085-1	woodjes	db.changelog-1.42.xml	2022-06-06 17:11:46.319414	926	EXECUTED	8:b154d6032d542fc79c7f71b35eec76b9	createTable tableName=aggregate_overlay_diagram_preset	6001: create aggregate_overlay_diagram_preset table	\N	3.10.3	\N	\N	4531907893
