1	1	1	\N	2020-06-24 21:15:08.973213	\N	\N	f	\N	\N	\N	\N
1	2	1	This is a simple one-liner response comment.	2020-06-24 21:15:08.973305	\N	-1826858481.0000	\N	\N	\N	\N	\N
1	3	1	\N	2020-06-24 21:15:08.973316	This is a simple one-liner response.	\N	\N	\N	\N	\N	\N
1	4	1	\N	2020-06-24 21:15:08.973323	This is a simple one-liner response.	\N	\N	\N	\N	\N	\N
3	5	3	\N	2020-06-24 21:15:09.09452	\N	\N	t	\N	\N	\N	\N
3	6	3	This is a simple one-liner response comment.	2020-06-24 21:15:09.09457	\N	850462934.0000	\N	\N	\N	\N	\N
3	7	3	This is a long response comment with multiple lines.\n We expect the UI to display this comment with line-breaks.	2020-06-24 21:15:09.094582	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
3	8	3	\N	2020-06-24 21:15:09.094591	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
4	1	4	This is a simple one-liner response comment.	2020-06-24 21:15:09.325958	\N	\N	t	\N	\N	\N	\N
4	2	4	This is a long response comment with multiple lines.\n We expect the UI to display this comment with line-breaks.	2020-06-24 21:15:09.32601	\N	999931784.0000	\N	\N	\N	\N	\N
4	3	4	This is a long response comment with multiple lines.\n We expect the UI to display this comment with line-breaks.	2020-06-24 21:15:09.326021	This is a simple one-liner response.	\N	\N	\N	\N	\N	\N
4	4	4	\N	2020-06-24 21:15:09.326031	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
5	1	5	\N	2020-06-24 21:15:09.326041	\N	\N	t	\N	\N	\N	\N
5	2	5	\N	2020-06-24 21:15:09.326067	\N	-1008840742.0000	\N	\N	\N	\N	\N
5	3	5	This is a long response comment with multiple lines.\n We expect the UI to display this comment with line-breaks.	2020-06-24 21:15:09.326077	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
5	4	5	\N	2020-06-24 21:15:09.326087	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
9	1	9	This is a long response comment with multiple lines.\n We expect the UI to display this comment with line-breaks.	2020-06-24 21:15:09.382541	\N	\N	f	\N	\N	\N	\N
9	2	9	\N	2020-06-24 21:15:09.382578	\N	1219974789.0000	\N	\N	\N	\N	\N
9	3	9	\N	2020-06-24 21:15:09.382586	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
9	4	9	\N	2020-06-24 21:15:09.382591	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
13	1	17	This is a long response comment with multiple lines.\n We expect the UI to display this comment with line-breaks.	2020-06-24 21:15:09.76465	\N	\N	f	\N	\N	\N	\N
13	2	17	This is a simple one-liner response comment.	2020-06-24 21:15:09.76469	\N	1074944931.0000	\N	\N	\N	\N	\N
13	3	17	\N	2020-06-24 21:15:09.764699	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
13	4	17	\N	2020-06-24 21:15:09.764714	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
11	1	12	This is a simple one-liner response comment.	2020-06-24 21:15:09.764726	\N	\N	f	\N	\N	\N	\N
11	2	12	This is a long response comment with multiple lines.\n We expect the UI to display this comment with line-breaks.	2020-06-24 21:15:09.764783	\N	1224849998.0000	\N	\N	\N	\N	\N
11	3	12	\N	2020-06-24 21:15:09.764792	This is a simple one-liner response.	\N	\N	\N	\N	\N	\N
11	4	12	\N	2020-06-24 21:15:09.764798	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
15	1	22	\N	2020-06-24 21:15:09.764805	\N	\N	f	\N	\N	\N	\N
15	2	21	\N	2020-06-24 21:15:09.764821	\N	-2090037416.0000	\N	\N	\N	\N	\N
15	3	22	\N	2020-06-24 21:15:09.764828	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
15	4	22	\N	2020-06-24 21:15:09.764848	This is a simple one-liner response.	\N	\N	\N	\N	\N	\N
16	1	23	\N	2020-06-24 21:15:09.764874	\N	\N	t	\N	\N	\N	\N
16	2	23	\N	2020-06-24 21:15:09.764892	\N	-1544982291.0000	\N	\N	\N	\N	\N
16	3	23	This is a simple one-liner response comment.	2020-06-24 21:15:09.764899	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
16	4	23	\N	2020-06-24 21:15:09.764906	This is a long response with multiple lines.\n This should be associated with a TEXT_AREA question type. We expect the UI to display this response with line-breaks.	\N	\N	\N	\N	\N	\N
14	1	18	This is a simple one-liner response comment.	2020-06-24 21:15:09.764913	\N	\N	t	\N	\N	\N	\N
14	2	18	\N	2020-06-24 21:15:09.764934	\N	901617451.0000	\N	\N	\N	\N	\N
