1	\N	EXT1	Restructure Auditor Operations	INITIATIVE	PRODUCTION	Restructure Auditor Operations	\N	2020-06-24	2022-01-19	waltz-sample	300
2	1	EXT2_1	Restructure Compliance Operations	PROGRAMME	DEVELOPMENT	Restructure Compliance Operations	\N	2020-06-24	2022-05-14	waltz-sample	10
3	2	EXT3_2	Adapt to Governance Initiatives	PROJECT	RETIRED	Adapt to Governance Initiatives	\N	2020-06-24	2021-11-19	waltz-sample	290
4	2	EXT4_2	Prioritise Tactical Trends	PROJECT	RETIRED	Prioritise Tactical Trends	\N	2020-06-24	2022-02-03	waltz-sample	160
5	2	EXT5_2	Invest in Governance Trends	PROJECT	DEVELOPMENT	Invest in Governance Trends	\N	2020-06-24	2021-02-01	waltz-sample	190
6	1	EXT6_1	Lower Customer Trends	PROGRAMME	CONCEPTUAL	Lower Customer Trends	\N	2020-06-24	2022-04-29	waltz-sample	270
7	6	EXT7_6	Enhance Compliance Processes	PROJECT	PRODUCTION	Enhance Compliance Processes	\N	2020-06-24	2021-07-17	waltz-sample	240
8	\N	EXT8	Undertake Governance Aggregation	INITIATIVE	DEVELOPMENT	Undertake Governance Aggregation	\N	2020-06-24	2020-08-03	waltz-sample	210
9	\N	EXT9	Adapt to Regulatory Reporting	INITIATIVE	CONCEPTUAL	Adapt to Regulatory Reporting	\N	2020-06-24	2020-07-26	waltz-sample	80
10	\N	EXT10	Deliver Auditor Processes	INITIATIVE	RETIRED	Deliver Auditor Processes	\N	2020-06-24	2021-09-19	waltz-sample	60
11	10	EXT11_10	Reduce Business Initiatives	PROGRAMME	DEVELOPMENT	Reduce Business Initiatives	\N	2020-06-24	2020-10-13	waltz-sample	140
12	\N	EXT12	Lead Business Reporting	INITIATIVE	DEVELOPMENT	Lead Business Reporting	\N	2020-06-24	2021-02-27	waltz-sample	170
13	12	EXT13_12	Undertake Global Structures	PROGRAMME	PRODUCTION	Undertake Global Structures	\N	2020-06-24	2022-06-05	waltz-sample	40
14	13	EXT14_13	Enhance Market Processes	PROJECT	DEVELOPMENT	Enhance Market Processes	\N	2020-06-24	2022-03-12	waltz-sample	130
15	13	EXT15_13	Lead Compliance Reporting	PROJECT	DEVELOPMENT	Lead Compliance Reporting	\N	2020-06-24	2020-08-28	waltz-sample	260
16	13	EXT16_13	Restructure Customer Operations	PROJECT	CONCEPTUAL	Restructure Customer Operations	\N	2020-06-24	2021-05-31	waltz-sample	190
17	12	EXT17_12	Deliver Auditor Standards	PROGRAMME	CONCEPTUAL	Deliver Auditor Standards	\N	2020-06-24	2021-07-05	waltz-sample	70
18	\N	EXT18	Analyze Compliance Reporting	INITIATIVE	CONCEPTUAL	Analyze Compliance Reporting	\N	2020-06-24	2022-04-27	waltz-sample	180
19	18	EXT19_18	Change Regional Structures	PROGRAMME	CONCEPTUAL	Change Regional Structures	\N	2020-06-24	2020-12-20	waltz-sample	220
20	19	EXT20_19	Reduce Governance Operations	PROJECT	PRODUCTION	Reduce Governance Operations	\N	2020-06-24	2020-08-05	waltz-sample	200
21	18	EXT21_18	Perform Auditor Initiatives	PROGRAMME	CONCEPTUAL	Perform Auditor Initiatives	\N	2020-06-24	2021-10-23	waltz-sample	290
22	21	EXT22_21	Manage Auditor Operations	PROJECT	CONCEPTUAL	Manage Auditor Operations	\N	2020-06-24	2021-05-30	waltz-sample	260
23	21	EXT23_21	Invest in Tactical Structures	PROJECT	PRODUCTION	Invest in Tactical Structures	\N	2020-06-24	2022-01-30	waltz-sample	220
24	\N	EXT24	Restructure Compliance Trends	INITIATIVE	RETIRED	Restructure Compliance Trends	\N	2020-06-24	2021-04-29	waltz-sample	80
25	\N	EXT25	Invest in Industry Trends	INITIATIVE	DEVELOPMENT	Invest in Industry Trends	\N	2020-06-24	2021-04-29	waltz-sample	260
26	\N	EXT26	Manage Market Initiatives	INITIATIVE	DEVELOPMENT	Manage Market Initiatives	\N	2020-06-24	2020-12-16	waltz-sample	40
27	26	EXT27_26	Analyze Business Trends	PROGRAMME	DEVELOPMENT	Analyze Business Trends	\N	2020-06-24	2021-11-10	waltz-sample	190
28	27	EXT28_27	Invest in Business Trends	PROJECT	PRODUCTION	Invest in Business Trends	\N	2020-06-24	2021-08-13	waltz-sample	300
29	\N	EXT29	Invest in Governance Standards	INITIATIVE	PRODUCTION	Invest in Governance Standards	\N	2020-06-24	2021-11-12	waltz-sample	10
30	29	EXT30_29	Change Tactical Reporting	PROGRAMME	DEVELOPMENT	Change Tactical Reporting	\N	2020-06-24	2020-11-09	waltz-sample	120
31	29	EXT31_29	Invest in Industry Standards	PROGRAMME	DEVELOPMENT	Invest in Industry Standards	\N	2020-06-24	2022-03-17	waltz-sample	260
32	31	EXT32_31	Change Industry Operations	PROJECT	PRODUCTION	Change Industry Operations	\N	2020-06-24	2020-08-25	waltz-sample	250
33	\N	EXT33	Restructure Business Initiatives	INITIATIVE	RETIRED	Restructure Business Initiatives	\N	2020-06-24	2021-11-05	waltz-sample	10
34	\N	EXT34	Prioritise Regional Processes	INITIATIVE	PRODUCTION	Prioritise Regional Processes	\N	2020-06-24	2021-10-30	waltz-sample	240
35	34	EXT35_34	Manage Customer Reporting	PROGRAMME	CONCEPTUAL	Manage Customer Reporting	\N	2020-06-24	2020-10-16	waltz-sample	260
36	35	EXT36_35	Manage Industry Reporting	PROJECT	PRODUCTION	Manage Industry Reporting	\N	2020-06-24	2021-03-16	waltz-sample	190
37	35	EXT37_35	Lead Regulatory Processes	PROJECT	DEVELOPMENT	Lead Regulatory Processes	\N	2020-06-24	2022-06-01	waltz-sample	230
38	35	EXT38_35	Perform Compliance Structures	PROJECT	DEVELOPMENT	Perform Compliance Structures	\N	2020-06-24	2022-06-12	waltz-sample	260
39	34	EXT39_34	Enhance Regulatory Processes	PROGRAMME	RETIRED	Enhance Regulatory Processes	\N	2020-06-24	2021-12-10	waltz-sample	190
40	39	EXT40_39	Meet Compliance Standards	PROJECT	CONCEPTUAL	Meet Compliance Standards	\N	2020-06-24	2021-02-04	waltz-sample	270
41	39	EXT41_39	Manage Regulatory Aggregation	PROJECT	RETIRED	Manage Regulatory Aggregation	\N	2020-06-24	2022-04-16	waltz-sample	240
42	\N	EXT42	Adapt to Enterprise Processes	INITIATIVE	CONCEPTUAL	Adapt to Enterprise Processes	\N	2020-06-24	2021-03-23	waltz-sample	270
43	42	EXT43_42	Reduce Customer Aggregation	PROGRAMME	PRODUCTION	Reduce Customer Aggregation	\N	2020-06-24	2020-12-03	waltz-sample	300
44	43	EXT44_43	Adapt to Enterprise Standards	PROJECT	RETIRED	Adapt to Enterprise Standards	\N	2020-06-24	2021-11-13	waltz-sample	140
45	43	EXT45_43	Analyze Governance Processes	PROJECT	PRODUCTION	Analyze Governance Processes	\N	2020-06-24	2020-07-29	waltz-sample	210
46	42	EXT46_42	Change Compliance Reporting	PROGRAMME	PRODUCTION	Change Compliance Reporting	\N	2020-06-24	2020-12-26	waltz-sample	100
47	46	EXT47_46	Manage Market Trends	PROJECT	DEVELOPMENT	Manage Market Trends	\N	2020-06-24	2021-10-03	waltz-sample	110
48	\N	EXT48	Undertake Industry Trends	INITIATIVE	PRODUCTION	Undertake Industry Trends	\N	2020-06-24	2021-02-04	waltz-sample	190
49	48	EXT49_48	Reduce Market Structures	PROGRAMME	RETIRED	Reduce Market Structures	\N	2020-06-24	2020-09-14	waltz-sample	200
50	49	EXT50_49	Change Business Aggregation	PROJECT	CONCEPTUAL	Change Business Aggregation	\N	2020-06-24	2022-06-11	waltz-sample	60
51	49	EXT51_49	Reduce Tactical Reporting	PROJECT	PRODUCTION	Reduce Tactical Reporting	\N	2020-06-24	2020-11-25	waltz-sample	150
52	48	EXT52_48	Lower Enterprise Processes	PROGRAMME	DEVELOPMENT	Lower Enterprise Processes	\N	2020-06-24	2020-07-13	waltz-sample	60
53	48	EXT53_48	Enhance Global Structures	PROGRAMME	PRODUCTION	Enhance Global Structures	\N	2020-06-24	2021-05-05	waltz-sample	140
54	53	EXT54_53	Deliver Industry Reporting	PROJECT	PRODUCTION	Deliver Industry Reporting	\N	2020-06-24	2021-01-05	waltz-sample	160
55	53	EXT55_53	Undertake Tactical Aggregation	PROJECT	PRODUCTION	Undertake Tactical Aggregation	\N	2020-06-24	2020-10-07	waltz-sample	280
56	\N	EXT56	Enhance Market Processes	INITIATIVE	RETIRED	Enhance Market Processes	\N	2020-06-24	2021-10-15	waltz-sample	230
57	56	EXT57_56	Manage Auditor Structures	PROGRAMME	RETIRED	Manage Auditor Structures	\N	2020-06-24	2021-10-08	waltz-sample	180
58	57	EXT58_57	Deliver Customer Processes	PROJECT	DEVELOPMENT	Deliver Customer Processes	\N	2020-06-24	2021-03-27	waltz-sample	250
59	57	EXT59_57	Adapt to Customer Reporting	PROJECT	DEVELOPMENT	Adapt to Customer Reporting	\N	2020-06-24	2020-12-08	waltz-sample	180
60	57	EXT60_57	Lower Business Operations	PROJECT	PRODUCTION	Lower Business Operations	\N	2020-06-24	2021-08-22	waltz-sample	80
61	56	EXT61_56	Manage Enterprise Aggregation	PROGRAMME	RETIRED	Manage Enterprise Aggregation	\N	2020-06-24	2021-12-30	waltz-sample	110
62	61	EXT62_61	Invest in Business Processes	PROJECT	CONCEPTUAL	Invest in Business Processes	\N	2020-06-24	2021-04-26	waltz-sample	260
63	61	EXT63_61	Undertake Enterprise Standards	PROJECT	PRODUCTION	Undertake Enterprise Standards	\N	2020-06-24	2022-05-05	waltz-sample	170
64	56	EXT64_56	Lead Regulatory Structures	PROGRAMME	DEVELOPMENT	Lead Regulatory Structures	\N	2020-06-24	2020-09-06	waltz-sample	200
65	\N	EXT65	Manage Tactical Operations	INITIATIVE	PRODUCTION	Manage Tactical Operations	\N	2020-06-24	2021-12-04	waltz-sample	120
66	65	EXT66_65	Manage Customer Trends	PROGRAMME	RETIRED	Manage Customer Trends	\N	2020-06-24	2021-04-12	waltz-sample	60
67	66	EXT67_66	Lower Customer Aggregation	PROJECT	RETIRED	Lower Customer Aggregation	\N	2020-06-24	2022-05-04	waltz-sample	280
68	66	EXT68_66	Adapt to Enterprise Operations	PROJECT	RETIRED	Adapt to Enterprise Operations	\N	2020-06-24	2021-11-21	waltz-sample	210
69	66	EXT69_66	Lead Business Structures	PROJECT	PRODUCTION	Lead Business Structures	\N	2020-06-24	2022-03-11	waltz-sample	110
70	65	EXT70_65	Analyze Industry Aggregation	PROGRAMME	CONCEPTUAL	Analyze Industry Aggregation	\N	2020-06-24	2021-09-07	waltz-sample	300
71	70	EXT71_70	Analyze Industry Initiatives	PROJECT	DEVELOPMENT	Analyze Industry Initiatives	\N	2020-06-24	2022-01-13	waltz-sample	170
72	70	EXT72_70	Reduce Enterprise Operations	PROJECT	PRODUCTION	Reduce Enterprise Operations	\N	2020-06-24	2021-07-16	waltz-sample	300
