6	5	0	UNKNOWN	FILE_TRANSPORT	Description: PhysicalSpecification{id=5, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.890968, by=admin, atTimestamp=2020-06-24 21:15:07.890968}, externalId=ext-6.1, name=finance-exchange-1.xls, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=6, entityLifecycleStatus=ACTIVE}, format=XML} - 36	waltz-sample	2020-06-24 22:15:07.959045	admin	36	\N	f	\N	\N	HIGH	\N	ACTIVE	2020-06-24 21:15:07.929732	admin	f	\N
7	6	1	DAILY	FILE_SHARE	Description: PhysicalSpecification{id=6, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.890983, by=admin, atTimestamp=2020-06-24 21:15:07.890983}, externalId=ext-6.2, name=daily-trade-2.tsv, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=6, entityLifecycleStatus=ACTIVE}, format=BINARY} - 36	waltz-sample	2020-06-24 22:15:07.959045	admin	36	\N	f	\N	\N	HIGH	\N	ACTIVE	2020-06-24 21:15:07.929771	admin	f	\N
8	6	0	INTRA_DAY	OTHER	Description: PhysicalSpecification{id=6, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.890983, by=admin, atTimestamp=2020-06-24 21:15:07.890983}, externalId=ext-6.2, name=daily-trade-2.tsv, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=6, entityLifecycleStatus=ACTIVE}, format=BINARY} - 90	waltz-sample	2020-06-24 22:15:07.959045	admin	90	\N	f	\N	\N	VERY_HIGH	\N	ACTIVE	2020-06-24 21:15:07.929796	admin	f	\N
9	7	2	MONTHLY	EMAIL	Description: PhysicalSpecification{id=7, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.891003, by=admin, atTimestamp=2020-06-24 21:15:07.891003}, externalId=ext-7.0, name=agg-intra-day-0.json, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=7, entityLifecycleStatus=ACTIVE}, format=UNKNOWN} - 246	waltz-sample	2020-06-24 22:15:07.959045	admin	246	\N	f	\N	\N	MEDIUM	\N	ACTIVE	2020-06-24 21:15:07.929833	admin	f	\N
10	7	2	REAL_TIME	DATABASE_CONNECTION	Description: PhysicalSpecification{id=7, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.891003, by=admin, atTimestamp=2020-06-24 21:15:07.891003}, externalId=ext-7.0, name=agg-intra-day-0.json, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=7, entityLifecycleStatus=ACTIVE}, format=UNKNOWN} - 181	waltz-sample	2020-06-24 22:15:07.959045	admin	181	\N	f	\N	\N	LOW	\N	ACTIVE	2020-06-24 21:15:07.929859	admin	f	\N
11	8	0	MONTHLY	WEB	Description: PhysicalSpecification{id=8, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.891018, by=admin, atTimestamp=2020-06-24 21:15:07.891018}, externalId=ext-7.1, name=confirmation-report-1.xls, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=7, entityLifecycleStatus=ACTIVE}, format=UNSTRUCTURED} - 181	waltz-sample	2020-06-24 22:15:07.959045	admin	181	\N	f	\N	\N	VERY_HIGH	\N	ACTIVE	2020-06-24 21:15:07.929925	admin	f	\N
12	8	0	DAILY	EMAIL	Description: PhysicalSpecification{id=8, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.891018, by=admin, atTimestamp=2020-06-24 21:15:07.891018}, externalId=ext-7.1, name=confirmation-report-1.xls, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=7, entityLifecycleStatus=ACTIVE}, format=UNSTRUCTURED} - 246	waltz-sample	2020-06-24 22:15:07.959045	admin	246	\N	f	\N	\N	HIGH	\N	ACTIVE	2020-06-24 21:15:07.929952	admin	f	\N
13	9	1	UNKNOWN	MANUAL	Description: PhysicalSpecification{id=9, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.891034, by=admin, atTimestamp=2020-06-24 21:15:07.891034}, externalId=ext-7.2, name=trade-exchange-2.doc, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=7, entityLifecycleStatus=ACTIVE}, format=JSON} - 246	waltz-sample	2020-06-24 22:15:07.959045	admin	246	\N	f	\N	\N	NONE	\N	ACTIVE	2020-06-24 21:15:07.929992	admin	f	\N
14	9	0	QUARTERLY	UNKNOWN	Description: PhysicalSpecification{id=9, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.891034, by=admin, atTimestamp=2020-06-24 21:15:07.891034}, externalId=ext-7.2, name=trade-exchange-2.doc, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=7, entityLifecycleStatus=ACTIVE}, format=JSON} - 181	waltz-sample	2020-06-24 22:15:07.959045	admin	181	\N	f	\N	\N	NONE	\N	PENDING	2020-06-24 21:15:07.930017	admin	f	\N
15	10	-1	DAILY	FILE_SHARE	Description: PhysicalSpecification{id=10, isRemoved=false, created=UserTimestamp{at=2020-06-24T21:15:07.891056, by=admin, atTimestamp=2020-06-24 21:15:07.891056}, externalId=ext-9.0, name=report-risk-0.json, provenance=waltz-sample, lastUpdatedAt=2020-06-24T22:15:07.896988, lastUpdatedBy=admin, owningEntity=EntityReference{kind=APPLICATION, id=9, entityLifecycleStatus=ACTIVE}, format=XML} - 424	waltz-sample	2020-06-24 22:15:07.959045	admin	424	\N	f	\N	\N	NONE	\N	ACTIVE	2020-06-24 21:15:07.930055	admin	f	\N
