2	SOURCE	SERVER	5031	Test data	2020-06-24 21:15:08.039971	admin	waltz-sample
2	TARGET	SERVER	6472	Test data	2020-06-24 21:15:08.04	admin	waltz-sample
4	SOURCE	SERVER	6623	Test data	2020-06-24 21:15:08.040027	admin	waltz-sample
4	TARGET	SERVER	1269	Test data	2020-06-24 21:15:08.040033	admin	waltz-sample
5	TARGET	SERVER	3564	Test data	2020-06-24 21:15:08.040046	admin	waltz-sample
6	SOURCE	SERVER	1025	Test data	2020-06-24 21:15:08.040063	admin	waltz-sample
6	TARGET	SERVER	4992	Test data	2020-06-24 21:15:08.040069	admin	waltz-sample
7	TARGET	SERVER	5052	Test data	2020-06-24 21:15:08.041718	admin	waltz-sample
9	SOURCE	SERVER	5365	Test data	2020-06-24 21:15:08.041746	admin	waltz-sample
9	TARGET	SERVER	9624	Test data	2020-06-24 21:15:08.041751	admin	waltz-sample
11	SOURCE	SERVER	932	Test data	2020-06-24 21:15:08.041766	admin	waltz-sample
17	SOURCE	SERVER	1400	Test data	2020-06-24 21:15:08.041788	admin	waltz-sample
17	TARGET	SERVER	4688	Test data	2020-06-24 21:15:08.041794	admin	waltz-sample
20	SOURCE	SERVER	3286	Test data	2020-06-24 21:15:08.041808	admin	waltz-sample
23	SOURCE	SERVER	8901	Test data	2020-06-24 21:15:08.041824	admin	waltz-sample
23	TARGET	SERVER	4277	Test data	2020-06-24 21:15:08.041829	admin	waltz-sample
27	SOURCE	SERVER	561	Test data	2020-06-24 21:15:08.041848	admin	waltz-sample
27	TARGET	SERVER	7572	Test data	2020-06-24 21:15:08.041853	admin	waltz-sample
28	SOURCE	SERVER	5313	Test data	2020-06-24 21:15:08.041863	admin	waltz-sample
28	TARGET	SERVER	7216	Test data	2020-06-24 21:15:08.041868	admin	waltz-sample
31	TARGET	SERVER	5579	Test data	2020-06-24 21:15:08.041884	admin	waltz-sample
34	TARGET	SERVER	5141	Test data	2020-06-24 21:15:08.041899	admin	waltz-sample
35	SOURCE	SERVER	7134	Test data	2020-06-24 21:15:08.04191	admin	waltz-sample
35	TARGET	SERVER	800	Test data	2020-06-24 21:15:08.041916	admin	waltz-sample
38	TARGET	SERVER	7201	Test data	2020-06-24 21:15:08.041931	admin	waltz-sample
40	TARGET	SERVER	4649	Test data	2020-06-24 21:15:08.041944	admin	waltz-sample
41	SOURCE	SERVER	1953	Test data	2020-06-24 21:15:08.041955	admin	waltz-sample
41	TARGET	SERVER	6114	Test data	2020-06-24 21:15:08.042513	admin	waltz-sample
44	SOURCE	SERVER	1923	Test data	2020-06-24 21:15:08.042534	admin	waltz-sample
