7366	APPLICATION	72	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	1
6311	APPLICATION	7	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	2
7366	APPLICATION	78	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	3
8423	APPLICATION	85	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	4
9482	APPLICATION	24	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	5
8424	APPLICATION	47	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	6
8424	APPLICATION	49	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	7
3138	APPLICATION	80	PROD	2020-06-24 22:15:06.560447	admin	waltz-sample	8
8424	APPLICATION	59	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	9
4195	APPLICATION	84	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	10
8423	APPLICATION	87	PROD	2020-06-24 22:15:06.560447	admin	waltz-sample	11
5253	APPLICATION	56	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	12
4197	APPLICATION	25	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	13
1026	APPLICATION	24	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	14
8424	APPLICATION	67	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	15
1024	APPLICATION	90	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	16
6312	APPLICATION	6	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	17
7368	APPLICATION	35	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	18
4198	APPLICATION	8	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	19
7369	APPLICATION	9	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	20
3141	APPLICATION	7	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	21
4198	APPLICATION	5	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	22
9481	APPLICATION	79	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	23
9482	APPLICATION	44	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	24
1025	APPLICATION	72	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	25
9482	APPLICATION	54	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	26
2083	APPLICATION	47	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	27
3139	APPLICATION	79	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	28
7368	APPLICATION	56	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	29
3141	APPLICATION	24	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	30
5253	APPLICATION	91	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	31
4198	APPLICATION	28	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	32
8425	APPLICATION	59	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	33
3139	APPLICATION	93	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	34
4197	APPLICATION	61	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	35
2083	APPLICATION	62	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	36
7369	APPLICATION	37	QA	2020-06-24 22:15:06.560447	admin	waltz-sample	37
9484	APPLICATION	5	PROD	2020-06-24 22:15:06.560447	admin	waltz-sample	38
2082	APPLICATION	98	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	39
8425	APPLICATION	73	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	41
2085	APPLICATION	8	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	42
6312	APPLICATION	50	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	43
1026	APPLICATION	76	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	44
4197	APPLICATION	82	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	45
2084	APPLICATION	47	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	46
1028	APPLICATION	16	PROD	2020-06-24 22:15:06.560447	admin	waltz-sample	47
6312	APPLICATION	57	PROD	2020-06-24 22:15:06.560447	admin	waltz-sample	48
7368	APPLICATION	87	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	49
3140	APPLICATION	88	PROD	2020-06-24 22:15:06.560447	admin	waltz-sample	50
5256	APPLICATION	29	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	51
4200	APPLICATION	1	UAT	2020-06-24 22:15:06.560447	admin	waltz-sample	52
8427	APPLICATION	40	PROD	2020-06-24 22:15:06.560447	admin	waltz-sample	53
3140	APPLICATION	96	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	54
9482	APPLICATION	99	PREPROD	2020-06-24 22:15:06.560447	admin	waltz-sample	55
3141	APPLICATION	68	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	56
2086	APPLICATION	8	DEV	2020-06-24 22:15:06.560447	admin	waltz-sample	57
