main.app-view.assessment-rating.favouriteAssessmentDefnIds.application.included	0	anonymous
main.app-view.assessment-rating.favouriteAssessmentDefnIds.application.excluded	0	anonymous
main.app-view.assessment-rating.favouriteAssessmentDefnIdsmeasurable	17,23	admin
main.app-view.assessment-rating.favouriteAssessmentDefnIds.measurable.included	0	admin
main.app-view.assessment-rating.favouriteAssessmentDefnIds.measurable.excluded	0	admin
main.app-view.assessment-rating.favouriteAssessmentDefnIds.application.excluded	0	admin
main.app-view.assessment-rating.favouriteAssessmentDefnIds.application.included	0	admin
main.measurable-category.list.lastCategory	7	admin
main.app-view.data-flows.lastTab	PHYSICAL	admin
main.app-view.assessment-rating.favouriteAssessmentDefnIdsapplication	1,4,5,14	admin
\.


