430	1	77	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
429	1	19	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
428	1	61	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
427	1	81	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
425	1	95	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
424	1	72	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
417	1	43	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
418	1	9	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
423	1	85	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
422	1	26	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
421	1	48	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
414	1	88	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
413	1	42	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
420	1	79	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
419	1	15	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
416	1	40	APPLICATION	1.000	2021-04-12 16:35:18.685753	admin	waltz
329	3	69	APPLICATION	0.900	2021-04-12 16:35:18.685753	admin	waltz
403	1	69	APPLICATION	0.900	2021-04-12 16:35:18.685753	admin	waltz
525	2	69	APPLICATION	0.900	2021-04-12 16:35:18.685753	admin	waltz
323	3	84	APPLICATION	0.100	2021-04-12 16:35:18.685753	admin	waltz
294	3	55	APPLICATION	0.970	2021-04-12 16:35:18.685753	admin	waltz
295	3	27	APPLICATION	0.963	2021-04-12 16:35:18.685753	admin	waltz
296	3	23	APPLICATION	0.966	2021-04-12 16:35:18.685753	admin	waltz
297	3	56	APPLICATION	0.963	2021-04-12 16:35:18.685753	admin	waltz
298	3	58	APPLICATION	0.967	2021-04-12 16:35:18.685753	admin	waltz
299	3	91	APPLICATION	0.984	2021-04-12 16:35:18.685753	admin	waltz
300	3	8	APPLICATION	0.985	2021-04-12 16:35:18.685753	admin	waltz
301	3	87	APPLICATION	0.973	2021-04-12 16:35:18.685753	admin	waltz
