1	\N	Process Group 1	f	Process Group: 1	\N	2020-06-24 22:14:57.262337	admin	waltz-sample	2	\N	ACTIVE	\N
2	\N	Process Group 2	f	Process Group: 2	\N	2020-06-24 22:14:57.266844	admin	waltz-sample	2	\N	ACTIVE	\N
3	\N	Process Group 3	f	Process Group: 3	\N	2020-06-24 22:14:57.275353	admin	waltz-sample	2	\N	ACTIVE	\N
4	1	Vertical Discovery	t	Process: Vertical Discovery	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
5	1	Customer Reporting	t	Process: Customer Reporting	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
6	1	Horizontal Tracking	t	Process: Horizontal Tracking	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
7	1	Vertical Tracking	t	Process: Vertical Tracking	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
8	1	Horizontal Reporting	t	Process: Horizontal Reporting	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
9	1	Accounting Tracking	t	Process: Accounting Tracking	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
10	2	Customer Reporting	t	Process: Customer Reporting	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
11	2	Customer Processing	t	Process: Customer Processing	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
12	2	Accounting 	t	Process: Accounting 	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
13	2	Accounting Onboarding	t	Process: Accounting Onboarding	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
14	2	Financial 	t	Process: Financial 	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
15	2	Accounting Processing	t	Process: Accounting Processing	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
16	3	Client 	t	Process: Client 	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
17	3	Client Reporting	t	Process: Client Reporting	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
18	3	Financial Discovery	t	Process: Financial Discovery	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
19	3	Market Processing	t	Process: Market Processing	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
20	3	Regulatory Processing	t	Process: Regulatory Processing	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
21	3	Client Tracking	t	Process: Client Tracking	\N	2020-06-24 22:14:57.284422	admin	waltz-sample	2	\N	ACTIVE	\N
22	\N	Credit	f	PRODUCT	PRODUCT _ 5000	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
23	\N	Interest Rates	f	PRODUCT	PRODUCT _ 5100	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
24	\N	Commodity	f	PRODUCT	PRODUCT _ 5200	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
25	\N	FX	f	PRODUCT	PRODUCT _ 5300	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
26	\N	Equity	f	PRODUCT	PRODUCT _ 5400	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
27	22	ABS	t	PRODUCT	PRODUCT _ 5001	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
28	22	Corporate	t	PRODUCT	PRODUCT _ 5002	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
29	22	CDS	t	PRODUCT	PRODUCT _ 5003	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
30	22	Loans	t	PRODUCT	PRODUCT _ 5004	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
31	22	Muni	t	PRODUCT	PRODUCT _ 5005	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
32	22	Sovereign	t	PRODUCT	PRODUCT _ 5006	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
33	23	IR Swap	t	PRODUCT	PRODUCT _ 5101	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
34	23	FRA	t	PRODUCT	PRODUCT _ 5102	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
35	23	CapFloor	t	PRODUCT	PRODUCT _ 5103	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
36	23	Cross Currency	t	PRODUCT	PRODUCT _ 5104	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
37	23	Option	t	PRODUCT	PRODUCT _ 5105	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
38	23	Forward	t	PRODUCT	PRODUCT _ 5106	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
39	23	Exotic	t	PRODUCT	PRODUCT _ 5107	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
40	24	Metals	t	PRODUCT	PRODUCT _ 5201	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
41	24	Energy	t	PRODUCT	PRODUCT _ 5202	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
42	24	Agricultural	t	PRODUCT	PRODUCT _ 5203	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
43	24	Environmental	t	PRODUCT	PRODUCT _ 5206	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
44	24	Freight	t	PRODUCT	PRODUCT _ 5204	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
45	24	Multi Commodity Exotic	t	PRODUCT	PRODUCT _ 5205	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
46	25	Spot	t	PRODUCT	PRODUCT _ 5301	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
47	25	NDF	t	PRODUCT	PRODUCT _ 5302	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
48	25	NDO	t	PRODUCT	PRODUCT _ 5303	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
49	25	Forward	t	PRODUCT	PRODUCT _ 5304	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
50	25	Vanilla Option	t	PRODUCT	PRODUCT _ 5305	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
51	25	Simple Exotic	t	PRODUCT	PRODUCT _ 5306	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
52	25	Complex Exotic	t	PRODUCT	PRODUCT _ 5307	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
53	26	Swap	t	PRODUCT	PRODUCT _ 5401	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
54	26	Portfolio Swap	t	PRODUCT	PRODUCT _ 5402	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
55	26	Contract For Difference	t	PRODUCT	PRODUCT _ 5403	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
56	26	Option	t	PRODUCT	PRODUCT _ 5405	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
57	26	Forward	t	PRODUCT	PRODUCT _ 5406	2020-06-24 22:14:57.300987	admin	waltz-sample	4	\N	ACTIVE	\N
66417	\N	abolishers	t	abolishers.0	.0	2022-09-13 17:20:46.494	admin	stress	7		ACTIVE	\N
