6	APPLICATION	14	27		2021-03-26 14:19:33.616735	admin	waltz	f
4	APPLICATION	14	30		2021-03-26 14:19:33.616735	admin	waltz	f
2	APPLICATION	14	26		2021-03-26 14:19:33.616735	admin	waltz	f
5	APPLICATION	14	27		2021-03-26 14:19:33.616735	admin	waltz	f
3	APPLICATION	14	29		2021-03-26 14:19:33.616735	admin	waltz	f
10	APPLICATION	14	27		2021-05-08 14:46:26.453822	admin	waltz	f
2	CHANGE_INITIATIVE	3	32	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
7	CHANGE_INITIATIVE	3	31	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
8	CHANGE_INITIATIVE	3	33	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
9	CHANGE_INITIATIVE	3	33	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
10	CHANGE_INITIATIVE	3	32	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
15	CHANGE_INITIATIVE	3	33	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
20	CHANGE_INITIATIVE	3	33	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
25	CHANGE_INITIATIVE	3	31	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
26	CHANGE_INITIATIVE	3	32	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
27	CHANGE_INITIATIVE	3	32	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
30	CHANGE_INITIATIVE	3	32	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
31	CHANGE_INITIATIVE	3	31	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
33	CHANGE_INITIATIVE	3	32	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
35	CHANGE_INITIATIVE	3	33	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
37	CHANGE_INITIATIVE	3	32	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
39	CHANGE_INITIATIVE	3	31	sample data	2020-06-24 22:15:04.085571	admin	waltz-sample	f
