1	DB_LON_44_1	DB_INST_44	Oracle	Oracle	1.0.1	ext_44_1	\N	RETIRING	RANDOM_GENERATOR
2	DB_LON_142_6	DB_INST_142	Microsoft	SQL Server	1.0.1	ext_142_6	2018-01-24	BUILDING	RANDOM_GENERATOR
3	DB_LON_121_1	DB_INST_121	Oracle	Oracle	1.0.1	ext_121_1	\N	RETIRING	RANDOM_GENERATOR
4	DB_LON_20_5	DB_INST_20	Microsoft	SQL Server	1.0.1	ext_20_5	2018-02-24	ACTIVE	RANDOM_GENERATOR
5	DB_LON_99_2	DB_INST_99	Microsoft	SQL Server	1.0.1	ext_99_2	\N	ACTIVE	RANDOM_GENERATOR
6	DB_LON_79_2	DB_INST_79	Oracle	Oracle	1.0.1	ext_79_2	\N	RETIRING	RANDOM_GENERATOR
7	DB_LON_75_5	DB_INST_75	Microsoft	SQL Server	1.0.1	ext_75_5	\N	ACTIVE	RANDOM_GENERATOR
8	DB_LON_5_5	DB_INST_5	Microsoft	SQL Server	1.0.1	ext_5_5	2018-02-24	UNKNOWN	RANDOM_GENERATOR
9	DB_LON_100_0	DB_INST_100	Oracle	Oracle	1.0.1	ext_100_0	2018-09-24	RETIRING	RANDOM_GENERATOR
10	DB_LON_42_0	DB_INST_42	Microsoft	SQL Server	1.0.1	ext_42_0	\N	RETIRING	RANDOM_GENERATOR
11	DB_LON_61_2	DB_INST_61	Oracle	Oracle	1.0.1	ext_61_2	\N	RETIRING	RANDOM_GENERATOR
12	DB_LON_48_4	DB_INST_48	Microsoft	SQL Server	1.0.1	ext_48_4	2020-09-24	INACTIVE	RANDOM_GENERATOR
13	DB_LON_19_6	DB_INST_19	Microsoft	SQL Server	1.0.1	ext_19_6	2018-08-24	BUILDING	RANDOM_GENERATOR
14	DB_LON_93_7	DB_INST_93	Oracle	Oracle	1.0.1	ext_93_7	2021-03-24	RETIRING	RANDOM_GENERATOR
15	DB_LON_131_2	DB_INST_131	Oracle	Oracle	1.0.1	ext_131_2	2020-08-24	RETIRING	RANDOM_GENERATOR
16	DB_LON_86_1	DB_INST_86	Oracle	Oracle	1.0.1	ext_86_1	\N	BUILDING	RANDOM_GENERATOR
17	DB_LON_53_3	DB_INST_53	Oracle	Oracle	1.0.1	ext_53_3	2017-11-24	UNKNOWN	RANDOM_GENERATOR
