1	1	ext-1.0	accounting-accounting-0.psv	FLAT_FILE	Desc accounting-accounting-0.psv 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.890811	admin
2	2	ext-2.0	accounting-risk-0.txt	UNKNOWN	Desc accounting-risk-0.txt 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.890895	admin
3	3	ext-3.0	settlement-ratings-0.csv	OTHER	Desc settlement-ratings-0.csv 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.890922	admin
4	6	ext-6.0	accounting-confirms-0.xml	FLAT_FILE	Desc accounting-confirms-0.xml 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.890951	admin
5	6	ext-6.1	finance-exchange-1.xls	XML	Desc finance-exchange-1.xls 1	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.890968	admin
6	6	ext-6.2	daily-trade-2.tsv	BINARY	Desc daily-trade-2.tsv 2	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.890983	admin
7	7	ext-7.0	agg-intra-day-0.json	UNKNOWN	Desc agg-intra-day-0.json 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891003	admin
8	7	ext-7.1	confirmation-report-1.xls	UNSTRUCTURED	Desc confirmation-report-1.xls 1	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891018	admin
9	7	ext-7.2	trade-exchange-2.doc	JSON	Desc trade-exchange-2.doc 2	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891034	admin
10	9	ext-9.0	report-risk-0.json	XML	Desc report-risk-0.json 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891056	admin
11	9	ext-9.1	summary-summary-1.pdf	BINARY	Desc summary-summary-1.pdf 1	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891072	admin
12	10	ext-10.0	intra-day-report-0.doc	JSON	Desc intra-day-report-0.doc 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891092	admin
13	10	ext-10.1	daily-currency-1.doc	DATABASE	Desc daily-currency-1.doc 1	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891117	admin
14	13	ext-13.0	agg-accounting-0.bin	UNSTRUCTURED	Desc agg-accounting-0.bin 0	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891141	admin
15	13	ext-13.1	accruals-yyymmdd-1.md	BINARY	Desc accruals-yyymmdd-1.md 1	waltz-sample	APPLICATION	2020-06-24 22:15:07.896988	admin	f	2020-06-24 21:15:07.891156	admin
