1	cmp0b	Solaris	Singapore	3.0	UK	t	waltz-sample	\N	2019-07-24	INACTIVE	server-0
2	mid1c	Windows	London	2.0	UK	f	waltz-sample	2019-01-24	\N	BUILDING	server-1
3	mid2d	Windows	London	1.0	UK	t	waltz-sample	\N	\N	RETIRING	server-2
4	grd3c	Windows	London	3.0	UK	f	waltz-sample	2018-10-24	\N	ACTIVE	server-3
5	grd4e	Solaris	Bucharest	Vista	UK	f	waltz-sample	\N	\N	BUILDING	server-4
6	mid5c	Linux	London	1.0	UK	f	waltz-sample	\N	2019-11-24	INACTIVE	server-5
7	srv6a	AS/400	Manchester	ME	UK	f	waltz-sample	\N	\N	BUILDING	server-6
8	srv7b	Solaris	Sydney	1.1	UK	t	waltz-sample	\N	\N	UNKNOWN	server-7
9	grd8a	AIX	Croydon	XP	UK	f	waltz-sample	2020-08-24	\N	ACTIVE	server-8
10	db9e	Solaris	Berlin	Vista	UK	f	waltz-sample	\N	2018-06-24	UNKNOWN	server-9
11	mid10b	Linux	Singapore	1.0	UK	f	waltz-sample	\N	\N	UNKNOWN	server-10
12	cmp11c	Solaris	Turin	XP	UK	f	waltz-sample	\N	\N	ACTIVE	server-11
13	mid12b	AIX	Singapore	3.0	UK	f	waltz-sample	\N	\N	INACTIVE	server-12
14	cmp13b	Linux	New York	ME	UK	t	waltz-sample	2018-05-24	2019-09-24	RETIRING	server-13
15	mid14a	Solaris	Oslo	3.0	UK	f	waltz-sample	2023-03-24	\N	RETIRING	server-14
16	grd15a	Linux	Croydon	ME	UK	f	waltz-sample	\N	2021-07-24	INACTIVE	server-15
17	mid16d	Linux	Bucharest	1.1	UK	f	waltz-sample	\N	2021-05-24	ACTIVE	server-16
18	cmp17d	Linux	Croydon	2.0	UK	t	waltz-sample	\N	\N	ACTIVE	server-17
19	db18d	Linux	Dallas	Vista	UK	f	waltz-sample	\N	\N	RETIRING	server-18
20	mid19e	Linux	Manchester	1.0	UK	f	waltz-sample	2021-09-24	2020-09-24	BUILDING	server-19
21	cmp20a	Windows	Croydon	1.0	UK	f	waltz-sample	\N	2020-11-24	UNKNOWN	server-20
22	mid21c	Linux	Manchester	1.0	UK	t	waltz-sample	2022-02-24	\N	RETIRING	server-21
23	mid22d	Linux	London	3.0	UK	f	waltz-sample	2017-08-24	2023-05-24	INACTIVE	server-22
24	db23e	Windows	Sydney	1.1	UK	f	waltz-sample	2019-03-24	\N	RETIRING	server-23
25	srv24b	Solaris	Dallas	Vista	UK	f	waltz-sample	2018-06-24	\N	INACTIVE	server-24
26	srv25a	Linux	New York	Vista	UK	t	waltz-sample	2018-02-24	2018-10-24	BUILDING	server-25
27	db26d	Solaris	Singapore	3.0	UK	f	waltz-sample	\N	2018-01-24	INACTIVE	server-26
28	mid27e	Windows	Moscow	Vista	UK	f	waltz-sample	\N	\N	UNKNOWN	server-27
29	db28b	Linux	Singapore	XP	UK	f	waltz-sample	2020-03-24	2019-09-24	RETIRING	server-28
30	db29c	AIX	Dallas	2000	UK	f	waltz-sample	\N	2019-07-24	ACTIVE	server-29
31	cmp30c	Solaris	New York	1.1	UK	t	waltz-sample	2022-04-24	\N	INACTIVE	server-30
32	db31e	Windows	Paris	3.0	UK	t	waltz-sample	\N	2022-10-24	RETIRING	server-31
33	grd32a	Linux	Bucharest	2000	UK	f	waltz-sample	2023-05-24	2017-10-24	RETIRING	server-32
34	db33b	Linux	Frankfurt	1.0	UK	f	waltz-sample	2018-01-24	\N	RETIRING	server-33
35	srv34e	Linux	Berlin	1.0	UK	f	waltz-sample	\N	2023-04-24	INACTIVE	server-34
36	srv35d	AS/400	Paris	1.1	UK	f	waltz-sample	\N	\N	RETIRING	server-35
37	mid36e	AIX	Turin	2.0	UK	f	waltz-sample	\N	\N	ACTIVE	server-36
38	cmp37e	Solaris	Frankfurt	2000	UK	f	waltz-sample	\N	2018-11-24	INACTIVE	server-37
39	cmp38d	Windows	London	1.0	UK	f	waltz-sample	2018-08-24	2020-01-24	INACTIVE	server-38
40	srv39d	Windows	Redmond	3.0	UK	f	waltz-sample	\N	2022-10-24	INACTIVE	server-39
41	grd40d	Windows	Dallas	2000	UK	t	waltz-sample	2020-07-24	2018-01-24	UNKNOWN	server-40
42	mid41c	AS/400	Redmond	1.0	UK	f	waltz-sample	2018-03-24	\N	INACTIVE	server-41
43	cmp42b	Windows	Madrid	3.0	UK	f	waltz-sample	2019-12-24	2023-01-24	UNKNOWN	server-42
44	cmp43e	AS/400	Frankfurt	1.1	UK	f	waltz-sample	\N	\N	RETIRING	server-43
45	mid44a	AIX	Redmond	1.1	UK	f	waltz-sample	\N	\N	ACTIVE	server-44
46	db45a	AIX	Madrid	2.0	UK	f	waltz-sample	\N	\N	BUILDING	server-45
47	srv46d	AS/400	Singapore	XP	UK	f	waltz-sample	\N	\N	ACTIVE	server-46
48	grd47e	AIX	Moscow	ME	UK	t	waltz-sample	\N	2018-07-24	ACTIVE	server-47
49	cmp48b	AIX	Bucharest	1.0	UK	t	waltz-sample	2020-05-24	\N	UNKNOWN	server-48
50	mid49e	Linux	London	ME	UK	f	waltz-sample	\N	\N	INACTIVE	server-49
51	grd50d	AS/400	Redmond	1.1	UK	f	waltz-sample	\N	\N	RETIRING	server-50
52	cmp51a	Windows	Frankfurt	3.0	UK	f	waltz-sample	\N	2020-02-24	ACTIVE	server-51
53	cmp52d	Windows	Madrid	3.0	UK	f	waltz-sample	\N	\N	ACTIVE	server-52
54	grd53e	Solaris	Redmond	Vista	UK	f	waltz-sample	\N	\N	INACTIVE	server-53
55	cmp54e	Windows	Madrid	2000	UK	t	waltz-sample	2023-03-24	\N	ACTIVE	server-54
56	mid55b	Solaris	Redmond	XP	UK	t	waltz-sample	2018-06-24	\N	ACTIVE	server-55
57	cmp56c	Linux	Berlin	XP	UK	f	waltz-sample	\N	\N	BUILDING	server-56
58	mid57c	Linux	New York	Vista	UK	t	waltz-sample	\N	\N	UNKNOWN	server-57
59	cmp58e	Linux	Manchester	XP	UK	f	waltz-sample	\N	\N	INACTIVE	server-58
60	cmp59b	Linux	London	1.0	UK	f	waltz-sample	\N	2022-11-24	INACTIVE	server-59
61	mid60e	Windows	New York	2.0	UK	f	waltz-sample	2017-11-24	2018-08-24	BUILDING	server-60
62	srv61d	Windows	Dallas	2.0	UK	f	waltz-sample	2018-12-24	2017-11-24	ACTIVE	server-61
63	mid62e	AIX	Dallas	3.0	UK	f	waltz-sample	2020-08-24	2018-07-24	INACTIVE	server-62
64	cmp63e	Windows	Frankfurt	2.0	UK	f	waltz-sample	\N	2019-03-24	ACTIVE	server-63
65	mid64a	Windows	London	XP	UK	f	waltz-sample	2019-03-24	\N	RETIRING	server-64
66	db65a	Windows	Austin	2.0	UK	f	waltz-sample	\N	2019-10-24	RETIRING	server-65
67	cmp66e	Linux	Singapore	XP	UK	f	waltz-sample	2018-03-24	\N	ACTIVE	server-66
68	srv67d	AIX	London	2.0	UK	t	waltz-sample	\N	\N	RETIRING	server-67
69	grd68d	Linux	Berlin	XP	UK	f	waltz-sample	\N	\N	ACTIVE	server-68
70	grd69b	Windows	New York	2000	UK	t	waltz-sample	2022-11-24	\N	ACTIVE	server-69
71	grd70d	Solaris	Redmond	2.0	UK	t	waltz-sample	\N	2022-04-24	UNKNOWN	server-70
72	grd71b	Solaris	New York	2.0	UK	f	waltz-sample	\N	\N	INACTIVE	server-71
73	mid72b	Linux	Austin	2.0	UK	f	waltz-sample	2017-11-24	2018-08-24	UNKNOWN	server-72
74	db73c	Linux	Sydney	Vista	UK	f	waltz-sample	2020-11-24	\N	UNKNOWN	server-73
75	srv74d	Solaris	Manchester	1.0	UK	f	waltz-sample	\N	\N	UNKNOWN	server-74
76	grd75a	Linux	London	3.0	UK	f	waltz-sample	2020-06-24	2017-08-24	ACTIVE	server-75
77	db76d	Solaris	Moscow	2.0	UK	f	waltz-sample	2022-02-24	\N	RETIRING	server-76
78	mid77d	Windows	Paris	2000	UK	f	waltz-sample	\N	\N	ACTIVE	server-77
79	mid78d	Windows	Sydney	2.0	UK	t	waltz-sample	\N	\N	BUILDING	server-78
80	cmp79e	Windows	London	1.1	UK	f	waltz-sample	2021-02-24	\N	ACTIVE	server-79
81	mid80b	Linux	Tokyo	Vista	UK	f	waltz-sample	\N	2020-12-24	INACTIVE	server-80
82	cmp81a	Linux	Paris	1.1	UK	f	waltz-sample	2022-04-24	\N	BUILDING	server-81
83	db82a	Linux	Madrid	ME	UK	f	waltz-sample	2018-07-24	2020-07-24	INACTIVE	server-82
84	db83a	Windows	London	2.0	UK	f	waltz-sample	2022-05-24	\N	RETIRING	server-83
85	db84e	Linux	Turin	1.1	UK	t	waltz-sample	\N	2020-10-24	RETIRING	server-84
