APPLICATION	55	SERVER	0.970
APPLICATION	27	SERVER	0.963
APPLICATION	23	SERVER	0.966
APPLICATION	56	SERVER	0.963
APPLICATION	58	SERVER	0.967
APPLICATION	91	SERVER	0.984
APPLICATION	8	SERVER	0.985
APPLICATION	87	SERVER	0.973
APPLICATION	74	SERVER	0.972
APPLICATION	29	SERVER	0.965
APPLICATION	54	SERVER	0.988
APPLICATION	71	SERVER	0.976
APPLICATION	4	SERVER	0.977
APPLICATION	68	SERVER	0.981
APPLICATION	34	SERVER	0.963
APPLICATION	51	SERVER	0.993
APPLICATION	96	SERVER	0.975
APPLICATION	52	SERVER	0.982
APPLICATION	70	SERVER	0.969
APPLICATION	80	SERVER	0.985
APPLICATION	83	SERVER	0.962
APPLICATION	67	SERVER	0.980
APPLICATION	63	SERVER	0.982
APPLICATION	10	SERVER	0.955
APPLICATION	90	SERVER	0.992
APPLICATION	35	SERVER	0.964
APPLICATION	45	SERVER	0.965
APPLICATION	6	SERVER	0.985
APPLICATION	86	SERVER	0.949
APPLICATION	84	SERVER	0.981
APPLICATION	39	SERVER	1.000
APPLICATION	92	SERVER	0.982
APPLICATION	89	SERVER	0.971
APPLICATION	93	SERVER	0.963
APPLICATION	36	SERVER	0.952
APPLICATION	69	SERVER	0.974
APPLICATION	31	SERVER	0.974
APPLICATION	50	SERVER	1.000
APPLICATION	60	SERVER	0.977
APPLICATION	97	SERVER	0.987
APPLICATION	14	SERVER	0.978
APPLICATION	66	SERVER	0.952
APPLICATION	22	SERVER	0.983
APPLICATION	59	SERVER	0.987
APPLICATION	13	SERVER	0.978
APPLICATION	65	SERVER	0.989
APPLICATION	2	SERVER	0.959
APPLICATION	16	SERVER	0.964
APPLICATION	62	SERVER	0.973
APPLICATION	75	SERVER	0.967
APPLICATION	98	SERVER	0.964
APPLICATION	73	SERVER	0.973
APPLICATION	11	SERVER	0.978
APPLICATION	44	SERVER	0.978
APPLICATION	42	SERVER	0.960
APPLICATION	99	SERVER	0.973
APPLICATION	88	SERVER	0.981
APPLICATION	82	SERVER	0.970
APPLICATION	41	SERVER	0.974
APPLICATION	46	SERVER	0.981
APPLICATION	40	SERVER	0.987
APPLICATION	43	SERVER	0.978
APPLICATION	53	SERVER	0.954
APPLICATION	32	SERVER	0.966
APPLICATION	9	SERVER	0.960
APPLICATION	7	SERVER	0.962
APPLICATION	100	SERVER	0.970
APPLICATION	38	SERVER	0.964
APPLICATION	15	SERVER	0.985
APPLICATION	79	SERVER	0.985
APPLICATION	26	SERVER	0.975
APPLICATION	12	SERVER	0.979
APPLICATION	48	SERVER	0.989
APPLICATION	85	SERVER	0.962
APPLICATION	72	SERVER	0.986
APPLICATION	95	SERVER	0.976
APPLICATION	78	SERVER	0.971
APPLICATION	57	SERVER	0.980
APPLICATION	24	SERVER	0.964
APPLICATION	81	SERVER	0.978
APPLICATION	19	SERVER	0.980
APPLICATION	61	SERVER	0.978
APPLICATION	77	SERVER	0.964
APPLICATION	25	SERVER	0.979
APPLICATION	94	SERVER	0.990
APPLICATION	30	SERVER	0.993
APPLICATION	21	SERVER	0.953
APPLICATION	49	SERVER	0.980
APPLICATION	47	SERVER	0.992
APPLICATION	3	SERVER	0.950
APPLICATION	17	SERVER	0.983
APPLICATION	20	SERVER	0.972
APPLICATION	37	SERVER	0.961
APPLICATION	28	SERVER	0.991
APPLICATION	33	SERVER	0.967
APPLICATION	1	SERVER	0.965
APPLICATION	76	SERVER	0.943
APPLICATION	5	SERVER	0.975
APPLICATION	18	SERVER	0.998
APPLICATION	64	SERVER	0.980
APPLICATION	87	CONNECTION	0.000
APPLICATION	71	CONNECTION	0.874
APPLICATION	68	CONNECTION	0.356
APPLICATION	51	CONNECTION	0.856
APPLICATION	70	CONNECTION	0.000
APPLICATION	80	CONNECTION	0.414
APPLICATION	52	CONNECTION	0.534
APPLICATION	84	CONNECTION	0.534
APPLICATION	92	CONNECTION	0.856
APPLICATION	69	CONNECTION	0.414
APPLICATION	60	CONNECTION	0.460
APPLICATION	97	CONNECTION	0.534
APPLICATION	22	CONNECTION	0.782
APPLICATION	59	CONNECTION	0.460
APPLICATION	65	CONNECTION	0.356
APPLICATION	98	CONNECTION	0.565
APPLICATION	73	CONNECTION	0.500
APPLICATION	44	CONNECTION	0.414
APPLICATION	11	CONNECTION	0.743
APPLICATION	42	CONNECTION	0.460
APPLICATION	88	CONNECTION	0.414
APPLICATION	82	CONNECTION	1.000
APPLICATION	40	CONNECTION	0.500
APPLICATION	43	CONNECTION	0.782
APPLICATION	9	CONNECTION	0.500
APPLICATION	15	CONNECTION	0.534
APPLICATION	79	CONNECTION	0.460
APPLICATION	48	CONNECTION	0.282
APPLICATION	26	CONNECTION	0.782
APPLICATION	85	CONNECTION	0.460
APPLICATION	72	CONNECTION	0.460
APPLICATION	95	CONNECTION	0.414
APPLICATION	57	CONNECTION	0.565
APPLICATION	81	CONNECTION	0.460
APPLICATION	61	CONNECTION	0.638
APPLICATION	19	CONNECTION	0.500
APPLICATION	77	CONNECTION	0.500
APPLICATION	21	CONNECTION	0.817
APPLICATION	3	CONNECTION	0.282
APPLICATION	17	CONNECTION	0.534
APPLICATION	37	CONNECTION	0.460
APPLICATION	28	CONNECTION	0.565
APPLICATION	5	CONNECTION	0.178
APPLICATION	56	CONNECTION	0.638
APPLICATION	91	CONNECTION	0.282
APPLICATION	74	CONNECTION	0.460
APPLICATION	54	CONNECTION	0.282
APPLICATION	29	CONNECTION	0.282
APPLICATION	4	CONNECTION	0.460
APPLICATION	34	CONNECTION	0.616
APPLICATION	96	CONNECTION	0.500
APPLICATION	83	CONNECTION	0.000
APPLICATION	67	CONNECTION	0.592
APPLICATION	63	CONNECTION	0.500
APPLICATION	90	CONNECTION	0.000
APPLICATION	10	CONNECTION	0.460
