1	57	11
2	143	11
3	64	11
4	54	11
5	4	20
6	82	11
7	3	12
8	140	11
9	8	20
10	20	12
11	147	11
12	92	11
13	23	11
14	136	11
15	30	11
16	74	11
17	40	11
18	108	11
19	129	11
20	135	11
21	19	12
22	99	11
23	131	11
24	90	11
25	48	11
26	28	11
27	50	11
28	134	11
29	71	11
30	22	11
31	122	11
32	141	11
33	69	11
34	79	11
35	109	11
36	144	11
37	146	11
38	5	20
39	18	12
40	67	11
41	9	3
42	117	11
43	68	11
44	70	11
45	106	11
46	95	11
47	125	11
48	32	11
49	119	11
50	80	11
51	148	11
52	38	11
53	138	11
54	33	11
55	52	11
56	110	11
57	41	11
58	45	11
59	47	11
60	150	11
61	81	11
62	128	11
63	39	11
64	85	11
65	123	11
66	111	11
67	34	11
68	53	11
69	7	20
70	86	11
71	46	11
72	83	11
73	59	11
74	62	11
75	17	12
76	97	11
77	94	11
78	10	7
79	21	12
80	58	11
81	87	11
82	96	11
83	105	11
84	65	11
85	142	11
86	36	11
87	14	7
88	115	11
89	113	11
90	66	11
91	149	11
92	151	11
93	76	11
94	120	11
95	75	11
96	15	7
97	1	17
98	121	11
99	37	11
100	84	11
101	139	11
102	133	11
103	16	7
104	116	11
105	29	11
106	104	11
107	127	11
108	72	11
109	42	11
110	55	11
111	137	11
112	56	11
113	24	11
114	89	11
115	107	11
116	2	16
117	78	11
118	88	11
119	73	11
120	126	11
121	12	7
122	60	11
123	103	11
124	35	11
125	11	7
126	43	11
127	102	11
128	77	11
129	26	11
130	112	11
131	44	11
132	25	11
133	51	11
134	114	11
135	101	11
136	130	11
137	145	11
138	13	7
139	93	11
140	49	11
141	63	11
142	124	11
143	98	11
144	100	11
145	6	20
146	27	11
147	118	11
148	132	11
149	91	11
150	31	11
151	61	11
152	152	11
\.


